[INFO ] 2019-09-22T09:42:06,814 [Thread-2] Client - 27 185
[INFO ] 2019-09-22T09:42:07,022 [Thread-2] Client - 27 207
[INFO ] 2019-09-22T09:42:07,176 [Thread-2] Client - 27 150
[INFO ] 2019-09-22T09:42:07,329 [Thread-2] Client - 27 151
[INFO ] 2019-09-22T09:42:07,529 [Thread-2] Client - 27 200
[INFO ] 2019-09-22T09:42:07,708 [Thread-2] Client - 27 179
[INFO ] 2019-09-22T09:42:07,862 [Thread-2] Client - 27 154
[INFO ] 2019-09-22T09:42:08,068 [Thread-2] Client - 27 206
[INFO ] 2019-09-22T09:42:08,246 [Thread-2] Client - 27 177
[INFO ] 2019-09-22T09:42:08,403 [Thread-2] Client - 27 157
[INFO ] 2019-09-22T09:42:08,609 [Thread-2] Client - 27 205
[INFO ] 2019-09-22T09:42:08,811 [Thread-2] Client - 27 202
[INFO ] 2019-09-22T09:42:09,022 [Thread-2] Client - 27 210
[INFO ] 2019-09-22T09:42:09,272 [Thread-2] Client - 27 250
[INFO ] 2019-09-22T09:42:09,441 [Thread-2] Client - 27 168
[INFO ] 2019-09-22T09:42:09,648 [Thread-2] Client - 27 206
[INFO ] 2019-09-22T09:42:09,869 [Thread-2] Client - 27 220
[INFO ] 2019-09-22T09:42:10,115 [Thread-2] Client - 27 246
[INFO ] 2019-09-22T09:42:10,280 [Thread-2] Client - 27 164
[INFO ] 2019-09-22T09:42:10,439 [Thread-2] Client - 27 158
[INFO ] 2019-09-22T09:42:10,597 [Thread-2] Client - 27 157
[INFO ] 2019-09-22T09:42:10,807 [Thread-2] Client - 27 210
[INFO ] 2019-09-22T09:42:10,979 [Thread-2] Client - 27 172
[INFO ] 2019-09-22T09:42:11,174 [Thread-2] Client - 27 194
[INFO ] 2019-09-22T09:42:11,346 [Thread-2] Client - 27 171
[INFO ] 2019-09-22T09:42:11,528 [Thread-2] Client - 27 181
[INFO ] 2019-09-22T09:42:11,730 [Thread-2] Client - 27 201
[INFO ] 2019-09-22T09:42:11,881 [Thread-2] Client - 27 151
[INFO ] 2019-09-22T09:42:12,024 [Thread-2] Client - 27 142
[INFO ] 2019-09-22T09:42:12,254 [Thread-2] Client - 27 229
